,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__scale_pos_weight,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,13.663695144653321,3.4811582646469614,1.8490944862365724,0.22929358392589358,0.8,1,100,5,0.05,0.2,0.6,"{'classifier__subsample': 0.8, 'classifier__scale_pos_weight': 1, 'classifier__n_estimators': 100, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 0.6}",0.8112338858195212,0.8080890418540994,0.7823969245941893,0.8404859664482888,0.8238283569322425,0.8132068351296683,0.01916404265856862,1,0.9008587939900773,0.8986869057015071,0.8997225041029304,0.892133022638153,0.8981663659939113,0.8979135184853158,0.0030339172253547853
1,23.987105560302734,8.18283847494327,2.248383712768555,0.2157858834736164,0.9,1,50,6,0.3,0.5,0.8,"{'classifier__subsample': 0.9, 'classifier__scale_pos_weight': 1, 'classifier__n_estimators': 50, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.3, 'classifier__gamma': 0.5, 'classifier__colsample_bytree': 0.8}",0.7727380740212678,0.7934265213497167,0.7576960621521803,0.8093671064416468,0.786920468154052,0.7840296464237728,0.01766126981118586,4,0.9701532293773711,0.965744133749264,0.9653023640395385,0.9625305370767092,0.9658629934478397,0.9659186515381446,0.002442307664601101
2,25.597686290740967,2.106804380872563,2.4995927810668945,0.4662918487321651,0.9,1,50,7,0.05,0.1,1.0,"{'classifier__subsample': 0.9, 'classifier__scale_pos_weight': 1, 'classifier__n_estimators': 50, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 1.0}",0.7926122299451475,0.7881255723616016,0.7774909680081314,0.8361007960229045,0.8142126820235687,0.8017084496722708,0.02094235660908733,3,0.9385549379082008,0.9331385224439684,0.9384251951240902,0.9361797020834116,0.9316254494431289,0.9355847614005601,0.002789415811578614
3,121.37868461608886,51.22039371087629,2.755425310134888,0.547866189064978,0.9,1,200,7,0.3,0.2,1.0,"{'classifier__subsample': 0.9, 'classifier__scale_pos_weight': 1, 'classifier__n_estimators': 200, 'classifier__max_depth': 7, 'classifier__learning_rate': 0.3, 'classifier__gamma': 0.2, 'classifier__colsample_bytree': 1.0}",0.7638715618131052,0.7709698195614326,0.7473054976904265,0.7968380480834063,0.7886815807746882,0.7735333015846118,0.017665785713638048,5,0.9944613008080991,0.9949580937347314,0.9947485624083888,0.9943821174878791,0.9948412698412697,0.9946782688560736,0.00022117560177976832
4,70.18421978950501,62.10882306590303,2.2235827922821043,0.3201078836157755,0.8,0.018759514806266267,300,5,0.05,0.5,0.8,"{'classifier__subsample': 0.8, 'classifier__scale_pos_weight': 0.018759514806266267, 'classifier__n_estimators': 300, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.5, 'classifier__colsample_bytree': 0.8}",0.8264767619160776,0.8151183970856102,0.7572784268735723,0.8233654359005323,0.8219112600509213,0.8088300563653427,0.026041947304919003,2,0.894980451649911,0.8929747497525712,0.9005778554515729,0.8908626802470527,0.8945067714010098,0.8947805017004236,0.003235252194582289
