,interaction term,silhouette_score,centroids
0,PolygenicScoreEXT_x_Age,0.12662188600455834,"[[-0.1478316313394095, -0.15905749710736433, 0.2838934502013179, 0.37368839480472177, 0.358855536936698, 0.3308253598571251, 1.0, 2.173102889549016, -0.060604101386342694], [-0.1487676788003162, -0.30401424297570945, 0.3784009801596456, 0.40526039645043876, 0.3544059956924927, 0.30682427110855015, -2.220446049250313e-16, 2.299008810572688, -0.02601500624071928], [0.33801721020170145, 0.3567691756842476, -0.943007325326099, -0.8069911037117505, -0.38364278254042844, -0.6512706178874103, 0.4747375328083988, 1.4330708661417328, 0.11494968948941423]]"
1,PolygenicScoreEXT_x_DelinquentPeer,0.12649277019861088,"[[0.39764426621539833, 0.33435879223352083, -0.9777937858171837, -0.8250522886041028, -0.39788643080573, -0.6760734075318567, 0.4762908324552159, 1.4193888303477356, -0.4353533458548611], [-0.15927480525158044, -0.13408824626017354, 0.2636929764795353, 0.35029839387954353, 0.3469791630337577, 0.3121606857026266, 1.0, 2.160253031101741, -0.026946465098102612], [-0.15640643996486867, -0.28031156332669577, 0.35666788719923237, 0.3783689901211531, 0.33753210914012227, 0.29257150363008894, -7.771561172376096e-16, 2.278995189738109, -0.041979023376494534]]"
2,PolygenicScoreEXT_x_SchoolConnect,0.12538639545521116,"[[-0.14995134660309387, -0.29376765358289736, 0.3652579925729368, 0.39663187939208283, 0.34582064495270454, 0.2997509666843577, -4.996003610813204e-16, 2.286101327553509, -0.0008697855587687792], [0.3509494707907835, 0.34541221005333256, -0.9512270365839094, -0.8383303308193707, -0.3962180797004414, -0.6664078477702806, 0.47799593771157745, 1.4312796208530814, -0.25018645319014027], [-0.14465024076023295, -0.14494073138411706, 0.2710221760095028, 0.3767855891280646, 0.35866924434541797, 0.3254540345580007, 0.9999999999999999, 2.1666666666666683, -0.06488014729583985]]"
3,PolygenicScoreEXT_x_NeighborConnect,0.12468655452382646,"[[0.3379809245099805, 0.3318673546320994, -0.9411130229064336, -0.7990353265544214, -0.3767687762642305, -0.6473846066874317, 0.47440051847051184, 1.4257939079714843, -0.034971060643167774], [-0.14600373729709404, -0.1505076040803876, 0.2874324495103362, 0.37913626258772837, 0.36173320048733804, 0.33395762778586585, 0.9999999999999999, 2.18068366793272, -0.03954981944830015], [-0.15572075350830983, -0.29773160413877287, 0.3866303678303845, 0.40550865566464706, 0.35338169343771475, 0.3105013284727428, -5.551115123125783e-17, 2.306009415674329, -0.04683168048384939]]"
4,PolygenicScoreEXT_x_ParentalWarmth,0.12472283759952466,"[[-0.14240646352648828, -0.2893865842180997, 0.3695661147097009, 0.3940939100086263, 0.3488800831809584, 0.31050015214258614, -3.885780586188048e-16, 2.2914627514953785, 0.0019134334678103937], [0.33369348598534665, 0.33726236565263734, -0.9543905757904254, -0.8231892041968019, -0.39587064191617544, -0.6806356125494707, 0.47590158409167493, 1.422986181327941, -0.17193267011938104], [-0.14011928400906773, -0.14500555830068587, 0.2738726984776015, 0.371559649437305, 0.3579637980401894, 0.329530636637295, 0.9999999999999999, 2.1709470304975937, -0.03024233313981615]]"
5,PolygenicScoreEXT_x_Is_Male,0.13302782935054486,"[[0.48923211359322727, 0.24009957056205375, -0.7586864114573005, -0.6324910407587303, -0.24979860857036867, -0.47702523529396773, 0.571428571428571, 1.4503585217870922, 0.31841373928296773], [-0.41794543820564867, -0.11570179225148661, 0.2959249483641862, 0.40834216697178766, 0.35540062692628815, 0.3274298621222865, 1.0, 2.2701986754966903, -0.41794543820564856], [-0.15232237197371695, -0.3015570845729937, 0.3769406107374078, 0.3896666233055444, 0.34229630447077, 0.29307319680572275, 0.015520470966015276, 2.314690928552315, 0.016975108145175402]]"
6,PolygenicScoreEXT_x_SubstanceUseTrajectory,0.12257419555141344,"[[-0.7086052908947863, -0.024768612570590792, 0.4139708009862795, 0.38069680562341984, 0.3157585381930768, 0.28973368131459537, 0.484960272417707, 2.595346197502841, -1.7238605493228791], [0.24330758801879057, 0.398597280060217, -0.8861064900043848, -0.7174322289153584, -0.3270046903696644, -0.5956437276456096, 0.5045601647543394, 1.4901441600470733, 0.3262997099662102], [0.4660850490981394, -0.5414117800626228, 0.31918102176029467, 0.43148601295457645, 0.4177622203533493, 0.3924655358991779, 0.4988439306358381, 1.8942196531791913, 0.9716772833045797]]"
