iter	Passed	Remaining
516	2712	2533
517	2717	2528
518	2722	2522
519	2727	2517
520	2732	2512
521	2737	2506
522	2742	2501
523	2747	2495
524	2753	2490
525	2758	2485
526	2764	2480
527	2769	2475
528	2775	2470
529	2779	2465
530	2784	2459
531	2789	2454
532	2794	2448
533	2799	2443
534	2805	2437
535	2810	2432
536	2815	2427
537	2821	2422
538	2826	2417
539	2830	2411
540	2835	2405
541	2840	2400
542	2845	2394
543	2850	2389
544	2855	2384
545	2860	2378
546	2865	2373
547	2871	2368
548	2876	2363
549	2881	2357
550	2887	2353
551	2892	2347
552	2898	2342
553	2903	2337
554	2908	2332
555	2914	2327
556	2919	2321
557	2924	2316
558	2929	2311
559	2935	2306
560	2940	2300
561	2945	2295
562	2950	2290
563	2955	2284
564	2960	2279
565	2965	2273
566	2971	2268
567	2976	2263
568	2981	2258
569	2987	2253
570	2992	2248
571	2997	2242
572	3002	2237
573	3008	2232
574	3013	2227
575	3018	2222
576	3024	2216
577	3029	2211
578	3034	2206
579	3040	2201
580	3052	2201
581	3057	2196
582	3063	2190
583	3069	2186
584	3074	2181
585	3079	2175
586	3085	2170
587	3090	2165
588	3095	2160
589	3100	2154
590	3106	2149
591	3111	2144
592	3116	2139
593	3121	2133
594	3126	2128
595	3132	2123
596	3137	2117
597	3142	2112
598	3147	2107
599	3152	2101
600	3157	2096
601	3162	2090
602	3167	2085
603	3172	2079
604	3177	2074
605	3182	2069
606	3187	2063
607	3192	2058
608	3197	2053
609	3203	2048
610	3209	2043
611	3214	2038
612	3220	2033
613	3226	2028
614	3231	2022
615	3236	2017
616	3241	2012
617	3247	2007
618	3253	2002
619	3259	1997
620	3264	1992
621	3270	1987
622	3275	1982
623	3281	1977
624	3286	1971
625	3291	1966
626	3296	1961
627	3301	1955
628	3307	1950
629	3312	1945
630	3317	1939
631	3323	1935
632	3329	1930
633	3335	1925
634	3340	1919
635	3345	1914
636	3351	1909
637	3356	1904
638	3362	1899
639	3368	1894
640	3373	1889
641	3379	1884
642	3384	1878
643	3389	1873
644	3394	1868
645	3400	1863
646	3405	1858
647	3411	1853
648	3430	1855
649	3438	1851
650	3444	1846
651	3450	1841
652	3456	1836
653	3461	1831
654	3466	1825
655	3472	1820
656	3477	1815
657	3482	1810
658	3488	1804
659	3493	1799
660	3498	1794
661	3503	1788
662	3508	1783
663	3514	1778
664	3519	1772
665	3525	1767
666	3530	1762
667	3535	1757
668	3540	1751
669	3545	1746
670	3551	1741
671	3556	1735
672	3561	1730
673	3567	1725
674	3572	1720
675	3577	1714
676	3582	1709
677	3587	1704
678	3593	1698
679	3598	1693
680	3604	1688
681	3609	1682
682	3614	1677
683	3619	1672
684	3624	1666
685	3629	1661
686	3635	1656
687	3640	1650
688	3644	1645
689	3650	1639
690	3655	1634
691	3660	1629
692	3666	1624
693	3670	1618
694	3676	1613
695	3681	1608
696	3686	1602
697	3692	1597
698	3698	1592
699	3703	1587
700	3710	1582
701	3716	1577
702	3722	1572
703	3729	1568
704	3737	1564
705	3744	1559
706	3753	1555
707	3759	1550
708	3766	1545
709	3773	1541
710	3783	1538
711	3790	1533
712	3798	1528
713	3804	1523
714	3809	1518
715	3816	1513
716	3821	1508
717	3827	1503
718	3833	1498
719	3839	1493
720	3844	1487
721	3850	1482
722	3856	1477
723	3862	1472
724	3867	1467
725	3876	1463
726	3885	1459
727	3892	1454
728	3899	1449
729	3905	1444
730	3911	1439
731	3917	1434
732	3922	1428
733	3927	1423
734	3933	1418
735	3938	1412
736	3943	1407
737	3949	1402
738	3954	1396
739	3960	1391
740	3965	1386
741	3970	1380
742	3976	1375
743	3981	1370
744	3987	1364
745	3992	1359
746	3997	1353
747	4002	1348
748	4008	1343
749	4013	1337
750	4018	1332
751	4023	1326
752	4027	1321
753	4033	1315
754	4038	1310
755	4043	1304
756	4048	1299
757	4054	1294
758	4059	1289
759	4064	1283
760	4069	1278
761	4074	1272
762	4079	1267
763	4085	1261
764	4090	1256
765	4096	1251
766	4102	1246
767	4107	1240
768	4112	1235
769	4118	1230
770	4123	1224
771	4129	1219
772	4134	1214
773	4139	1208
774	4144	1203
775	4150	1197
776	4155	1192
777	4160	1187
778	4166	1181
779	4171	1176
780	4177	1171
781	4182	1166
782	4187	1160
783	4194	1155
784	4199	1150
785	4205	1144
786	4210	1139
787	4216	1134
788	4221	1129
789	4226	1123
790	4232	1118
791	4237	1112
792	4243	1107
793	4248	1102
794	4257	1097
795	4265	1093
796	4273	1088
797	4282	1084
798	4290	1079
799	4297	1074
800	4310	1070
801	4320	1066
802	4330	1062
803	4344	1059
804	4355	1055
805	4367	1051
806	4376	1046
807	4385	1042
808	4394	1037
809	4402	1032
810	4410	1027
811	4447	1029
812	4470	1028
813	4482	1024
814	4496	1020
815	4506	1016
816	4515	1011
817	4521	1006
818	4527	1000
819	4533	995
820	4538	989
821	4545	984
822	4549	978
823	4555	972
824	4559	967
825	4563	961
826	4567	955
827	4572	949
828	4576	943
829	4580	938
830	4584	932
831	4589	926
832	4593	920
833	4598	915
834	4602	909
835	4606	903
836	4613	898
837	4618	892
838	4622	887
839	4627	881
840	4632	875
841	4637	870
842	4641	864
843	4646	858
844	4650	853
845	4654	847
846	4658	841
847	4663	835
848	4668	830
849	4672	824
850	4677	818
851	4681	813
852	4685	807
853	4690	801
854	4694	796
855	4698	790
856	4702	784
857	4707	779
858	4712	773
859	4717	767
860	4725	762
861	4729	757
862	4734	751
863	4738	745
864	4743	740
865	4748	734
866	4752	729
867	4757	723
868	4761	717
869	4766	712
870	4771	706
871	4775	701
872	4780	695
873	4784	689
874	4789	684
875	4794	678
876	4798	673
877	4803	667
878	4807	661
879	4812	656
880	4816	650
881	4821	645
882	4826	639
883	4830	633
884	4834	628
885	4839	622
886	4845	617
887	4851	611
888	4858	606
889	4864	601
890	4869	595
891	4875	590
892	4880	584
893	4885	579
894	4890	573
895	4895	568
896	4899	562
897	4904	557
898	4909	551
899	4914	546
900	4918	540
901	4923	534
902	4928	529
903	4932	523
904	4937	518
905	4942	512
906	4947	507
907	4952	501
908	4956	496
909	4961	490
910	4966	485
911	4971	479
912	4976	474
913	4981	468
914	4986	463
915	4991	457
916	4996	452
917	5002	446
918	5008	441
919	5013	435
920	5018	430
921	5023	425
922	5029	419
923	5035	414
924	5040	408
925	5045	403
926	5050	397
927	5055	392
928	5060	386
929	5065	381
930	5070	375
931	5074	370
932	5079	364
933	5084	359
934	5089	353
935	5094	348
936	5098	342
937	5103	337
938	5108	331
939	5113	326
940	5118	320
941	5123	315
942	5128	309
943	5133	304
944	5138	299
945	5143	293
946	5148	288
947	5153	282
948	5159	277
949	5164	271
950	5169	266
951	5174	260
952	5180	255
953	5185	250
954	5190	244
955	5196	239
956	5201	233
957	5206	228
958	5212	222
959	5219	217
960	5226	212
961	5231	206
962	5237	201
963	5243	195
964	5249	190
965	5254	184
966	5259	179
967	5265	174
968	5270	168
969	5275	163
970	5280	157
971	5285	152
972	5290	146
973	5296	141
974	5301	135
975	5307	130
976	5312	125
977	5318	119
978	5323	114
979	5329	108
980	5335	103
981	5341	97
982	5348	92
983	5354	87
984	5360	81
985	5366	76
986	5372	70
987	5377	65
988	5383	59
989	5389	54
990	5395	49
991	5401	43
992	5407	38
993	5413	32
994	5419	27
995	5426	21
996	5432	16
997	5437	10
998	5443	5
999	5451	0
