,interaction,type,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
0,PolygenicScoreEXT_x_Age,train_metrics,logistic_regression,AST,0.45426829268292684,0.4787152388262384,0.6258104353195431,0.5424681363529924,0.35778216019417475,0.3640784192652053,0.36090283091048203,0.3845635775862069,0.22036122259956778,0.2801766437684004,0.5505987814272708,0.6068230935473912,0.577345327703323,0.4429149395084727,0.4542682926829268,0.4402232346837994,0.44291493950847266,0.45426829268292684,0.4402232346837994
1,PolygenicScoreEXT_x_Age,test_metrics,logistic_regression,AST,0.5381056732408084,0.08695652173913043,0.6052631578947368,0.15206611570247933,0.16565656565656567,0.3241106719367589,0.21925133689839574,0.14349775784753363,0.22377622377622378,0.17486338797814208,0.903828197945845,0.59771534424205,0.719568853372979,0.3249847607972687,0.43771634946244237,0.3164374234879991,0.7448187995532951,0.5381056732408084,0.6094941919407851
2,PolygenicScoreEXT_x_DelinquentPeer,train_metrics,logistic_regression,AST,0.45353504167953074,0.4769627071014578,0.6288206236492745,0.5424642940373539,0.3560448049439938,0.35574251312133376,0.35589359484189803,0.3851279317697228,0.22306267366471133,0.28250244379276634,0.5497411501329229,0.6065143562828034,0.5767339449541286,0.4419691484870244,0.45353504167953074,0.43939856940653665,0.4419691484870244,0.45353504167953074,0.4393985694065367
3,PolygenicScoreEXT_x_DelinquentPeer,test_metrics,logistic_regression,AST,0.5366447528609691,0.08775137111517367,0.631578947368421,0.15409309791332265,0.16666666666666666,0.3201581027667984,0.21921515561569688,0.14505494505494507,0.23076923076923078,0.17813765182186236,0.9038912330051571,0.5952454461253474,0.7177959791511542,0.3258410539604856,0.4444379317574494,0.31731047112550903,0.7451161079930617,0.5366447528609691,0.608357070629315
4,PolygenicScoreEXT_x_SchoolConnect,train_metrics,logistic_regression,AST,0.45330348873108983,0.4790245060226666,0.6231089842543995,0.5416484954208461,0.35660377358490564,0.364695893794381,0.36060444173090134,0.38272434175174636,0.21989811670268603,0.27931372549019606,0.5494851859634377,0.6055109601728929,0.5761392428303896,0.4419594518306891,0.45330348873108983,0.4394264763680833,0.44195945183068913,0.45330348873108983,0.4394264763680833
5,PolygenicScoreEXT_x_SchoolConnect,test_metrics,logistic_regression,AST,0.5346968590211834,0.08239700374531835,0.5789473684210527,0.1442622950819672,0.16295546558704455,0.3181818181818182,0.21552878179384205,0.1367713004484305,0.21328671328671328,0.16666666666666666,0.9022907900888265,0.595862920654523,0.7177389364075865,0.321103639967405,0.42656970513602677,0.3110491699875156,0.7427207448009858,0.5346968590211834,0.6068771803517781
6,PolygenicScoreEXT_x_NeighborConnect,train_metrics,logistic_regression,AST,0.45457702994751464,0.4816785223264989,0.6219512195121951,0.542900454775139,0.35904575556893437,0.3682463723371411,0.3635878677030941,0.38070059484467944,0.22229083050324175,0.2806880756298426,0.551116416233675,0.6058196974374807,0.577174792264137,0.4431353222434469,0.4545770299475147,0.4410877975930532,0.4431353222434469,0.45457702994751464,0.44108779759305317
7,PolygenicScoreEXT_x_NeighborConnect,test_metrics,logistic_regression,AST,0.5381056732408084,0.08604206500956023,0.5921052631578947,0.15025041736227043,0.16683518705763398,0.32608695652173914,0.22073578595317725,0.1415929203539823,0.22377622377622378,0.17344173441734417,0.9034064395706953,0.59771534424205,0.7194351542177629,0.32446915299796797,0.4349209469244769,0.3159657729876387,0.7444818199616777,0.5381056732408084,0.6094390406541356
8,PolygenicScoreEXT_x_ParentalWarmth,train_metrics,logistic_regression,AST,0.45571549861068233,0.4834314950324231,0.6271997530101884,0.5460104149168487,0.3570503542317361,0.3617628897807965,0.3593911743281064,0.3857010948423691,0.22568694041370793,0.28475434581487075,0.55077933878521,0.6082124112380364,0.5780728459817335,0.4442405707229346,0.4557154986106823,0.44205719526038983,0.44424057072293455,0.45571549861068233,0.4420571952603898
9,PolygenicScoreEXT_x_ParentalWarmth,test_metrics,logistic_regression,AST,0.5368882395909423,0.08458646616541353,0.5921052631578947,0.14802631578947367,0.16309887869520898,0.31620553359683795,0.21519838601210492,0.1447661469933185,0.22727272727272727,0.17687074829931973,0.9020979020979021,0.5974066069774622,0.7187964338781575,0.3236373484879608,0.4332475327512305,0.314722970994764,0.743183546867188,0.5368882395909423,0.6084507101697304
10,PolygenicScoreEXT_x_Is_Male,train_metrics,logistic_regression,AST,0.45359292991664096,0.4807900758761893,0.6162395801173202,0.5401528989919491,0.35639745916515425,0.3637696820006175,0.36004583651642474,0.3806634826384407,0.2276165483173819,0.2848862483698015,0.5517652839194216,0.6067459092312442,0.5779509612910341,0.4424040753998015,0.45359292991664096,0.4407589862923023,0.4424040753998015,0.45359292991664096,0.4407589862923023
11,PolygenicScoreEXT_x_Is_Male,test_metrics,logistic_regression,AST,0.537618699780862,0.08461538461538462,0.5789473684210527,0.1476510067114094,0.16480162767039674,0.3201581027667984,0.2175957018132975,0.14502164502164502,0.23426573426573427,0.17914438502673796,0.9033613445378151,0.5974066069774622,0.7191971752462367,0.3244500004613104,0.43269445310776183,0.3158970671994204,0.7444080784675343,0.537618699780862,0.6092135004547854
