,Missing Values,Percentage (%)
ID,0,0.0
FamilyID,10771,51.92094480597734
Race,41,0.19763798505664015
PolygenicScoreEXT,10771,51.92094480597734
Sex,2,0.009640877319836105
Age,17,0.0819474572186069
DelinquentPeer,135,0.6507592190889371
SchoolConnect,92,0.4434803567124609
NeighborConnect,103,0.4965051819715594
ParentalWarmth,445,2.145095203663533
AntisocialTrajectory,106,0.5109664979513135
SubstanceUseTrajectory,106,0.5109664979513135
