,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train ROC AUC,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Test ROC AUC
AST_1_vs_4,0.754880694143167,0.057203389830508475,0.7941176470588235,0.10671936758893281,0.7741306467338316,0.7601831766690769,0.05431619786614937,0.7368421052631579,0.10117434507678409,0.7487304069158903
AST_2_vs_4,0.47830802603036876,0.16695128076343546,0.8199309324124322,0.2774161241862794,0.6253543055225728,0.4772234273318872,0.16246953696181965,0.7889546351084813,0.26945099360053887,0.6113911011896058
AST_3_vs_4,0.636117136659436,0.1365258774538965,0.7975673327541268,0.23314285714285718,0.7108263986528809,0.6252108941913714,0.1314717859220477,0.7847222222222222,0.22521175884404585,0.6990174177674178
