type,interaction,Model,Target,Accuracy,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,Age_x_SchoolConnect,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Age_x_SchoolConnect,random_forest,AST,0.2388419782870929,0.027413127413127413,0.9342105263157895,0.05326331582895724,0.9931129476584022,0.22253086419753088,0.36359051941502774,0.5102630375357649,0.5783706952566602,0.2084269176219925,0.9709798999085105,0.2388419782870929,0.35647807445949664
train_metrics,Age_x_NeighborConnect,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Age_x_NeighborConnect,random_forest,AST,0.244270205066345,0.028338509316770188,0.9605263157894737,0.05505279034690799,0.995945945945946,0.22746913580246914,0.37035175879396987,0.5121422276313581,0.5939977257959714,0.21270227457043894,0.9737691771932869,0.244270205066345,0.3631253650659914
train_metrics,Age_x_ParentalWarmth,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Age_x_ParentalWarmth,random_forest,AST,0.21441495778045838,0.026581804567577687,0.9342105263157895,0.05169275573352749,0.9922480620155039,0.19753086419753085,0.32947232947232946,0.5094149332915408,0.5658706952566601,0.19058254260292848,0.970115783497397,0.21441495778045838,0.3231058494952037
train_metrics,Age_x_Is_Male,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Age_x_Is_Male,random_forest,AST,0.18546441495778046,0.02600216684723727,0.9473684210526315,0.050615114235500885,0.9926873857404022,0.1675925925925926,0.2867705307631371,0.5093447762938197,0.5574805068226121,0.168692822499319,0.9705317534617892,0.18546441495778046,0.2813580423264361
train_metrics,Age_x_Race_1.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Age_x_Race_1.0,random_forest,AST,0.19360675512665862,0.026603498542274052,0.9605263157894737,0.05177304964539007,0.9947552447552448,0.1756172839506173,0.2985309548793284,0.5106793716487594,0.5680717998700455,0.17515200226235925,0.9725660008734034,0.19360675512665862,0.2928754660983334
train_metrics,Age_x_Race_2.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Age_x_Race_2.0,random_forest,AST,0.17189384800965019,0.0255863539445629,0.9473684210526315,0.04982698961937716,0.9920318725099602,0.1537037037037037,0.2661678246926777,0.5088091132272615,0.5505360623781677,0.15799740715602742,0.9698817339662418,0.17189384800965019,0.2612094702096949
train_metrics,Age_x_Race_3.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Age_x_Race_3.0,random_forest,AST,0.258745476477684,0.028129952456418382,0.9342105263157895,0.054615384615384614,0.9936868686868687,0.24290123456790125,0.3903769841269842,0.5109084105716436,0.5885558804418454,0.2224961843711844,0.9715570961797776,0.258745476477684,0.38268160367979426
train_metrics,Age_x_Race_4.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Age_x_Race_4.0,random_forest,AST,0.2255729794933655,0.027314112291350532,0.9473684210526315,0.05309734513274336,0.9941176470588236,0.20864197530864198,0.3448979591836735,0.510715879675087,0.5780051981806368,0.19899765215820842,0.9719593030774218,0.2255729794933655,0.33821012846356774
train_metrics,Age_x_Race_5.0,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Age_x_Race_5.0,random_forest,AST,0.16827503015681544,0.025477707006369428,0.9473684210526315,0.04962095106822881,0.9918367346938776,0.15,0.26058981233243966,0.5086572208501235,0.5486842105263158,0.15510538170033422,0.9696885784501349,0.16827503015681544,0.2557545790827171
train_metrics,Age_x_Race_nan,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,Age_x_Race_nan,random_forest,AST,0.2252714113389626,0.026225769669327253,0.9078947368421053,0.05097894347986701,0.9897810218978103,0.20925925925925926,0.34547770700636943,0.5080033957835688,0.5585769980506823,0.19822832524311823,0.9676971258877485,0.2252714113389626,0.3387280369134822
train_metrics,DelinquentPeer_x_SchoolConnect,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,DelinquentPeer_x_SchoolConnect,random_forest,AST,0.2819662243667069,0.029015120555782592,0.9342105263157895,0.056282203725723345,0.9942462600690449,0.26666666666666666,0.42054027743976635,0.5116306903124137,0.6004385964912281,0.23841124058274485,0.9721239540970885,0.2819662243667069,0.41219178117852767
train_metrics,DelinquentPeer_x_NeighborConnect,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,DelinquentPeer_x_NeighborConnect,random_forest,AST,0.2147165259348613,0.02659176029962547,0.9342105263157895,0.051711580480699196,0.9922600619195047,0.19783950617283952,0.3299022130725682,0.509425911109565,0.5660250162443146,0.19080689677663368,0.9701277365506535,0.2147165259348613,0.3235263119637075
train_metrics,DelinquentPeer_x_ParentalWarmth,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,DelinquentPeer_x_ParentalWarmth,random_forest,AST,0.22617611580217128,0.02733485193621868,0.9473684210526315,0.053136531365313655,0.9941348973607038,0.20925925925925926,0.3457419683834778,0.5107348746484612,0.5783138401559453,0.19943924987439574,0.9719766333521812,0.22617611580217128,0.3390356917811314
train_metrics,DelinquentPeer_x_Is_Male,random_forest,AST,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_metrics,DelinquentPeer_x_Is_Male,random_forest,AST,0.13268998793727382,0.024456521739130436,0.9473684210526315,0.04768211920529801,0.989247311827957,0.11358024691358025,0.20376522702104097,0.5068519167835437,0.5304743339831058,0.12572367311316948,0.9671350983036051,0.13268998793727382,0.20018793021947387
train_metrics,DelinquentPeer_x_Race_1.0,random_forest,AST,0.9999614048629872,0.999922815683853,1.0,0.9999614063525143,1.0,0.9999228097259746,0.9999614033733453,0.9999614078419266,0.9999614048629872,0.9999614048629297,0.9999614078419264,0.9999614048629872,0.9999614048629297
test_metrics,DelinquentPeer_x_Race_1.0,random_forest,AST,0.24849215922798554,0.02664576802507837,0.8947368421052632,0.0517503805175038,0.9895287958115183,0.23333333333333334,0.37762237762237766,0.5080872819182983,0.5640350877192982,0.21468637906994073,0.9674603066342659,0.24849215922798554,0.3701536587502515
