type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.8474035833586395,0.8092697971272031,0.6948420575572022,0.843956704750451,0.8524142119647737,0.8481643752832754,0.850920245398773,0.8423929547525053,0.8466351289485732,0.847438475074612,0.8474035833586395,0.8473997521159242,0.847438475074612,0.8474035833586395,0.8473997521159242
test_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.8324420677361853,0.6110951559649015,0.21114339725412198,0.087248322147651,0.7222222222222222,0.15568862275449102,0.9927797833935018,0.8348512446873103,0.9069920844327177,0.5400140527705765,0.7785367334547663,0.5313403535936043,0.9734101264684569,0.8324420677361853,0.8909214221508305
train_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.8489219556635287,0.8112103456398573,0.6979757454514147,0.8422698838248436,0.8586395384148193,0.850375939849624,0.8558377206565501,0.839204372912238,0.847439435755903,0.8490538022406968,0.8489219556635287,0.8489076878027635,0.8490538022406967,0.8489219556635287,0.8489076878027636
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.8306595365418895,0.6147995926116374,0.21931856781925696,0.0891089108910891,0.75,0.15929203539823011,0.9934782608695653,0.8324225865209471,0.9058473736372648,0.5412935858803272,0.7912112932604736,0.5325697045177474,0.9741334619395444,0.8306595365418895,0.8898782754931142
train_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.8433798967506833,0.804238652968325,0.686791216115887,0.840126334787186,0.8481627695110842,0.8441254250094447,0.8466963053809596,0.8385970239902825,0.8426272026851782,0.8434113200840728,0.8433798967506834,0.8433763138473114,0.8434113200840727,0.8433798967506833,0.8433763138473114
test_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.833630421865716,0.6069482173880376,0.2023781464143271,0.08503401360544217,0.6944444444444444,0.15151515151515152,0.9920806335493161,0.8366727383120826,0.9077733860342555,0.5385573235773792,0.7655585913782634,0.5296442687747035,0.9726785668125487,0.833630421865716,0.8915967393065741
train_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.847479501973884,0.8093866976859164,0.6950440080456346,0.8421288682912244,0.8552991193440632,0.8486629001883239,0.8530001542495758,0.8396598846037048,0.8462774504552758,0.8475645112704,0.847479501973884,0.8474701753217999,0.8475645112704,0.847479501973884,0.8474701753217998
test_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.8318478906714201,0.6156307564799129,0.22034516956558306,0.08970099667774087,0.75,0.1602373887240356,0.9934876989869754,0.8336369156041287,0.9065698250247606,0.5415943478323582,0.7918184578020644,0.5334036068743981,0.974155363108703,0.8318478906714201,0.8906054948365099
train_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.8469480716671728,0.8087202088287896,0.6939761444653251,0.8417588991923423,0.8545399331916186,0.8481012658227848,0.8522972556275054,0.839356210142727,0.8457772337821298,0.8470280774099238,0.8469480716671728,0.8469392498024573,0.8470280774099239,0.8469480716671728,0.8469392498024574
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.8312537136066548,0.6102690981817731,0.21013146193620505,0.08666666666666667,0.7222222222222222,0.15476190476190477,0.9927693420101229,0.8336369156041287,0.9062706270627061,0.5397180043383948,0.7779295689131754,0.5305162659123055,0.9733874666017066,0.8312537136066548,0.8901955741792665
train_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.848314606741573,0.8104244213129912,0.696700179478818,0.8434131736526946,0.8554509565745521,0.8493894165535956,0.8533579790511399,0.8411782569085939,0.8472243462303104,0.8483855763519172,0.848314606741573,0.848306881391953,0.8483855763519174,0.848314606741573,0.8483068813919531
test_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.8288770053475936,0.6135587444435069,0.21779515562054863,0.08823529411764706,0.75,0.15789473684210525,0.9934640522875817,0.8306010928961749,0.9047619047619048,0.5408496732026143,0.7903005464480874,0.531328320802005,0.974100870294642,0.8288770053475936,0.888786136464155
