type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,2.0_Precision,2.0_Recall,2.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
train_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.6796234436683875,0.6001465990681438,0.3607672373765296,0.6645340751043115,0.7254782872760401,0.6936701509872242,0.6977599465061852,0.6337686000607349,0.6642266072565244,0.6811470108052484,0.6796234436683875,0.6789483791218742,0.6811470108052484,0.6796234436683875,0.6789483791218743
test_metrics,PolygenicScoreEXT_x_Age,logistic_regression,AST,0.5557894736842105,0.4801823111250979,0.16989497967677145,0.1905759162303665,0.7193675889328063,0.30132450331125826,0.9248677248677248,0.5306618093503339,0.6743827160493827,0.5577218205490456,0.6250146991415702,0.4878536096803205,0.8270909735070661,0.5557894736842105,0.6247070698268851
train_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.6806103856665654,0.6012459322136391,0.36240952929502485,0.6670880741677202,0.7210750075918615,0.693031740240788,0.69651412522716,0.6401457637412694,0.6671413877680196,0.6818010996974402,0.6806103856665655,0.6800865640044038,0.6818010996974402,0.6806103856665654,0.6800865640044037
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,AST,0.5584210526315789,0.47901406792717205,0.16513922019223085,0.1896186440677966,0.7075098814229249,0.2990810359231412,0.9225941422594143,0.5355191256830601,0.6776796004610065,0.5561063931636054,0.6215145035529925,0.48838031819207384,0.8249926680265304,0.5584210526315789,0.627266212656754
train_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.6832675372001215,0.6046954666798021,0.36803501644303627,0.6681058495821727,0.7283631946553295,0.696934476245823,0.7014352469959947,0.6381718797449134,0.6683097471776117,0.6847705482890837,0.6832675372001215,0.6826221117117174,0.6847705482890838,0.6832675372001215,0.6826221117117174
test_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,AST,0.5573684210526316,0.4782679908509073,0.16431225783730585,0.18921775898520085,0.7075098814229249,0.29858215179316094,0.9224318658280922,0.5343047965998786,0.6766628219915417,0.5558248124066465,0.6209073390114017,0.4876224868923513,0.8247986189695388,0.5573684210526316,0.6263183959072312
train_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.680534467051321,0.6011860544704758,0.3623438758994025,0.66657326982348,0.7224415426662618,0.6933838531040514,0.6970500497182631,0.6386273914363803,0.6665610142630745,0.6818116597708715,0.680534467051321,0.6799724336835629,0.6818116597708717,0.680534467051321,0.6799724336835629
test_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,AST,0.5589473684210526,0.4803973280393026,0.16782398457968936,0.19047619047619047,0.7114624505928854,0.30050083472454087,0.9235602094240838,0.5355191256830601,0.6779400461183706,0.5570181999501371,0.6234907881379728,0.48922044042145574,0.825944284795759,0.5589473684210526,0.6276810353380343
train_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.6774218038262982,0.5972117765540994,0.35591653821660074,0.6646470339580104,0.7162162162162162,0.6894686837681795,0.6923456790123457,0.6386273914363803,0.6644024958534082,0.678496356485178,0.6774218038262982,0.6769355898107938,0.678496356485178,0.6774218038262982,0.6769355898107938
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,AST,0.5536842105263158,0.47869277816034433,0.16824992658621177,0.1897810218978102,0.7193675889328063,0.3003300330033003,0.924548352816153,0.5282331511839709,0.6723338485316847,0.5571646873569815,0.6238003700583885,0.4863319407674925,0.8267082819096578,0.5536842105263158,0.6227986036218525
train_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.6803067112055876,0.6010605926761322,0.3622800161262765,0.6645420534848275,0.7282113574248406,0.694921393899877,0.6994122586062133,0.6324020649863347,0.6642213539590145,0.6819771560455203,0.6803067112055876,0.6795713739294458,0.6819771560455202,0.6803067112055876,0.6795713739294457
test_metrics,PolygenicScoreEXT_x_Is_Male,logistic_regression,AST,0.5584210526315789,0.4820454388280845,0.17195543954608047,0.19157894736842104,0.7193675889328063,0.3025768911055694,0.9252631578947368,0.5336976320582878,0.6769349249133616,0.5584210526315789,0.6265326104955471,0.4897559080094655,0.8275673130193905,0.5584210526315789,0.6270861972536924
