type,column_dropped,change_in_accuracy,change_in_custom_score
2_vs_3,PolygenicScoreEXT,0.00329489291598023,0.0052696654212398
2_vs_3,Age,0.00658978583196046,0.0014060247134110027
2_vs_3,DelinquentPeer,0.023887973640856652,0.01423004704589631
2_vs_3,SchoolConnect,0.0,0.0
2_vs_3,NeighborConnect,0.0008237232289950436,0.00127882814199487
2_vs_3,ParentalWarmth,0.004118616144975273,0.006657782455605665
2_vs_3,Is_Male,0.00658978583196046,0.006481928781383428
2_vs_3,AntisocialTrajectory,-0.26771004942339377,-0.15578185250309134
