type,column_dropped,change_in_accuracy,change_in_custom_score
3_vs_4,PolygenicScoreEXT,0.0022358859698154987,0.0020061263650386074
3_vs_4,Age,-0.008943543879262217,0.012524335376772555
3_vs_4,DelinquentPeer,-0.05533817775293459,0.009070339262916116
3_vs_4,SchoolConnect,-0.001676914477361735,0.008729343684592772
3_vs_4,NeighborConnect,-0.0011179429849077493,-0.001009095392575876
3_vs_4,ParentalWarmth,0.010061486864169855,0.008906907471936343
3_vs_4,Is_Male,-0.019005030743432072,0.015517025942082707
3_vs_4,SubstanceUseTrajectory,0.13135830072666288,0.06862791456963502
