type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,0_Precision,0_Recall,0_F1-Score,1_Precision,1_Recall,1_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
validation_metrics,PolygenicScoreEXT_x_DelinquentPeer,xgboost,AST,0.8781442146450531,0.5846762707412549,0.15536119912648208,0.9327680193821926,0.9350333940497875,0.9338993329290478,0.2246376811594203,0.21830985915492956,0.22142857142857142,0.5787028502708065,0.5766716266023585,0.5776639521788096,0.8765609159570201,0.8781442146450531,0.8773477129552816
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,xgboost,AST,0.2179988820570151,0.3203492330620024,0.09110667971242231,0.9806201550387597,0.15361262902246509,0.2656167979002625,0.08948399738732854,0.9647887323943662,0.16377764494919306,0.5350520762130441,0.5592006807084157,0.21469722142472777,0.9098871564996298,0.2179988820570151,0.2575334218694901
validation_metrics,PolygenicScoreEXT_x_SchoolConnect,xgboost,AST,0.8943543879262158,0.6279762110790365,0.2409108987255497,0.9386281588447654,0.9471766848816029,0.942883046237534,0.31496062992125984,0.28169014084507044,0.29739776951672864,0.6267943943830125,0.6144334128633366,0.6201404078771313,0.8891252023846548,0.8943543879262158,0.8916483289125736
test_metrics,PolygenicScoreEXT_x_SchoolConnect,xgboost,AST,0.20961430967020683,0.32192169698781053,0.102543721069377,0.9915611814345991,0.14268366727383122,0.2494692144373673,0.09020618556701031,0.9859154929577465,0.1652892561983471,0.5408836835008047,0.5642995801157888,0.2073792353178572,0.9200170733221356,0.20961430967020683,0.24278751847876426
validation_metrics,PolygenicScoreEXT_x_NeighborConnect,xgboost,AST,0.8865287870318613,0.6166477755752119,0.22107947744387296,0.9381067961165048,0.9386763812993322,0.938391502276176,0.28368794326241137,0.28169014084507044,0.2826855123674912,0.6108973696894581,0.6101832610722013,0.6105385073218336,0.8861629855489916,0.8865287870318613,0.8863455265539663
test_metrics,PolygenicScoreEXT_x_NeighborConnect,xgboost,AST,0.3018446059250978,0.3732242582956526,0.1349579310387849,0.9877450980392157,0.24468731026108076,0.3922141119221412,0.09920347574221579,0.9647887323943662,0.1799080761654629,0.5434742868907158,0.6047380213277235,0.28606109404380203,0.9172180380245852,0.3018446059250978,0.3753625428458705
validation_metrics,PolygenicScoreEXT_x_ParentalWarmth,xgboost,AST,0.8753493571827837,0.5788787057069759,0.14433781398252624,0.9320388349514563,0.9326047358834244,0.9323216995447648,0.2127659574468085,0.2112676056338028,0.21201413427561835,0.5724023961991325,0.5719361707586136,0.5721679169101916,0.8749473041489635,0.8753493571827837,0.8751480414853916
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,xgboost,AST,0.2101732811626607,0.3128738147984269,0.08121532452563558,0.975609756097561,0.14571948998178508,0.25356576862123614,0.0881399870382372,0.9577464788732394,0.16142433234421363,0.531874871567899,0.5517329844275123,0.20749505048272487,0.9051677733102921,0.2101732811626607,0.24625213868756524
validation_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,xgboost,AST,0.8809390721073225,0.6136689804244662,0.21829340756784804,0.9388004895960832,0.9313904068002429,0.9350807680585187,0.2709677419354839,0.29577464788732394,0.2828282828282828,0.6048841157657836,0.6135825273437834,0.6089545254434008,0.8857919651870251,0.8809390721073225,0.8833089106506409
test_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,xgboost,AST,0.28116266070430407,0.35259294768341287,0.1066883524889275,0.9762532981530343,0.2246508803885853,0.36525172754195456,0.09432624113475177,0.9366197183098591,0.1713917525773196,0.5352897696438931,0.5806352993492222,0.26832174005963705,0.9062512623248642,0.28116266070430407,0.34986429520826073
