type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,0_Precision,0_Recall,0_F1-Score,1_Precision,1_Recall,1_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
validation_metrics,PolygenicScoreEXT_x_DelinquentPeer,xgboost,SUT,0.6680395387149918,0.49394078208281783,0.13181116205101248,0.7434002111932418,0.8148148148148148,0.7774710104914412,0.40074906367041196,0.3057142857142857,0.34683954619124796,0.5720746374318268,0.5602645502645502,0.5621552783413446,0.6446128128135133,0.6680395387149918,0.6533186113933624
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,xgboost,SUT,0.36820428336079075,0.35619058953764926,0.07131686288584031,0.7926829268292683,0.15063731170336037,0.2531645569620253,0.3019047619047619,0.9031339031339032,0.45253390435403285,0.5472938443670151,0.5268856074186318,0.3528492306580291,0.6507857802983773,0.36820428336079075,0.3108075890333553
validation_metrics,PolygenicScoreEXT_x_SchoolConnect,xgboost,SUT,0.671334431630972,0.4933831259405465,0.12858456604909344,0.7414330218068536,0.8263888888888888,0.7816091954022989,0.40239043824701193,0.2885714285714286,0.3361064891846922,0.5719117300269327,0.5574801587301588,0.5588578422934956,0.6436859837129948,0.671334431630972,0.6531693707102377
test_metrics,PolygenicScoreEXT_x_SchoolConnect,xgboost,SUT,0.3846787479406919,0.3550040918220365,0.052578536137435995,0.7612612612612613,0.19582850521436848,0.31152073732718893,0.3004032258064516,0.8490028490028491,0.4437825763216679,0.5308322435338564,0.5224156771086088,0.3776516568244284,0.628014827616584,0.3846787479406919,0.3497611866575531
validation_metrics,PolygenicScoreEXT_x_NeighborConnect,xgboost,SUT,0.6696869851729819,0.49294613434716383,0.12867515400782178,0.741901776384535,0.8217592592592593,0.7797913234486546,0.40077821011673154,0.29428571428571426,0.3393739703459638,0.5713399932506333,0.5580224867724868,0.5595826468973092,0.6435547844621864,0.6696869851729819,0.6528176219775329
test_metrics,PolygenicScoreEXT_x_NeighborConnect,xgboost,SUT,0.3640856672158155,0.3436475229870693,0.0468777850546377,0.7630057803468208,0.15295480880648898,0.2548262548262548,0.297790585975024,0.8831908831908832,0.4454022988505747,0.5303981831609224,0.5180728459986861,0.3501142768384148,0.6284995750548104,0.3640856672158155,0.3099269067640936
validation_metrics,PolygenicScoreEXT_x_ParentalWarmth,xgboost,SUT,0.6672158154859967,0.49302055178693766,0.13037048523889283,0.7431289640591966,0.8136574074074074,0.7767955801104973,0.39925373134328357,0.3057142857142857,0.34627831715210355,0.57119134770124,0.5596858465608465,0.5615369486313004,0.6439886580867341,0.6672158154859967,0.6526761056167264
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,xgboost,SUT,0.38138385502471167,0.36646850525450647,0.08214482392346933,0.7978723404255319,0.17381228273464658,0.285442435775452,0.3050682261208577,0.8917378917378918,0.45461147421931736,0.5514702832731948,0.5327750872362692,0.3700269549973847,0.6553894375252513,0.38138385502471167,0.33435374754958436
validation_metrics,PolygenicScoreEXT_x_AntisocialTrajectory,xgboost,SUT,0.6787479406919276,0.5054201330589028,0.14952186877413579,0.7463617463617463,0.8310185185185185,0.7864184008762322,0.42063492063492064,0.3028571428571429,0.3521594684385382,0.5834983334983335,0.5669378306878307,0.5692889346573852,0.6524536829314423,0.6787479406919276,0.6612201913595988
test_metrics,PolygenicScoreEXT_x_AntisocialTrajectory,xgboost,SUT,0.3443163097199341,0.3525758660731532,0.0838081967120383,0.8383838383838383,0.09617612977983778,0.17255717255717257,0.3004484304932735,0.9544159544159544,0.45702592087312405,0.569416134438556,0.525296042097896,0.3147915467151483,0.6828522665802237,0.3443163097199341,0.2548047266419328
