type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,0_Precision,0_Recall,0_F1-Score,1_Precision,1_Recall,1_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
validation_metrics,PolygenicScoreEXT_x_DelinquentPeer,xgboost,AST,0.8220115850447604,0.5607301680065664,0.15097906698383404,0.8847736625514403,0.9137826350941105,0.8990442054958183,0.2828282828282828,0.2222222222222222,0.24888888888888888,0.5838009726898615,0.5680024286581664,0.5739665471923536,0.8048946548156658,0.8220115850447604,0.8127676705906334
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,xgboost,AST,0.14684210526315788,0.24779708390614047,0.006162619915983703,0.8823529411764706,0.018214936247723135,0.03569303985722785,0.13344051446945338,0.9841897233201581,0.23501651722510616,0.507896727822962,0.5012023297839406,0.135354778541167,0.7826293390939045,0.14684210526315788,0.06223453447516111
validation_metrics,PolygenicScoreEXT_x_SchoolConnect,xgboost,AST,0.809373354397051,0.5336690539734785,0.09989908366116108,0.8790560471976401,0.904675166970249,0.8916816277678037,0.23039215686274508,0.1865079365079365,0.20614035087719298,0.5547241020301926,0.5455915517390928,0.5489109893224984,0.7929774266792654,0.809373354397051,0.8007093256211824
test_metrics,PolygenicScoreEXT_x_SchoolConnect,xgboost,AST,0.14157894736842105,0.2570840727445289,0.022338180520414103,0.9444444444444444,0.010321797207043109,0.020420420420420422,0.1339001062699256,0.9960474308300395,0.23606557377049175,0.539172275357185,0.5031846140185413,0.12824299709545608,0.8365140667822585,0.14157894736842105,0.04913527505071939
validation_metrics,PolygenicScoreEXT_x_NeighborConnect,xgboost,AST,0.8146392838335966,0.5437870186437348,0.11862847600025957,0.8811065332548558,0.9089253187613844,0.8947997609085475,0.25,0.1984126984126984,0.22123893805309736,0.5655532666274279,0.5536690085870414,0.5580193494808224,0.7973577989840692,0.8146392838335966,0.8054172820462129
test_metrics,PolygenicScoreEXT_x_NeighborConnect,xgboost,AST,0.14894736842105263,0.24715248946214233,0.0035212605530247935,0.875,0.021250758955676987,0.04149377593360996,0.13333333333333333,0.9802371541501976,0.23473734027449122,0.5041666666666667,0.5007439565529374,0.1381155581040506,0.7762412280701755,0.14894736842105263,0.06722568213268519
validation_metrics,PolygenicScoreEXT_x_ParentalWarmth,xgboost,AST,0.8214849921011058,0.5628520276543965,0.15604179359606452,0.8856132075471698,0.9119611414693382,0.8985940771761891,0.2857142857142857,0.23015873015873015,0.2549450549450549,0.5856637466307277,0.5710599358140341,0.576769566060622,0.8060057676830903,0.8214849921011058,0.8131809367853278
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,xgboost,AST,0.15789473684210525,0.2613568279399428,0.02352048156782587,0.9122807017543859,0.031572556162720096,0.06103286384976525,0.13456321215409658,0.9802371541501976,0.23664122137404578,0.5234219569542412,0.5059048551564589,0.1488370426119055,0.8087214781391895,0.15789473684210525,0.08441650303589313
validation_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,xgboost,AST,0.8172722485518694,0.5423576482121065,0.11365229744019897,0.8801169590643275,0.9137826350941105,0.8966338993148645,0.24867724867724866,0.1865079365079365,0.21315192743764175,0.5643971038707881,0.5501452858010235,0.5548929133762531,0.7963240117143835,0.8172722485518694,0.8059348698714416
test_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,xgboost,AST,0.15157894736842106,0.2608645413499751,0.026221473780608098,0.926829268292683,0.0230722525804493,0.045023696682464455,0.13448090371167296,0.9881422924901185,0.23674242424242428,0.5306550860021779,0.5056072725352839,0.14088306046244436,0.8213218281668958,0.15157894736842106,0.0705525588259749
