Sex,Age,DelinquentPeer,SchoolConnect,NeighborConnect,ParentalWarmth,AntisocialTrajectory,InFamilyCluster
0.5,-0.530428804606986,0.4119217613368231,-0.7855867506013717,0.2901379693089333,0.05238950338069726,4.0,0
0.5,0.72965086889015,-1.006341046537281,-0.8540336175849071,-1.58459245621097,-0.48286889981362857,4.0,0
0.5,0.487327854756085,0.2224483439737613,0.6025546573958631,-0.970114593128813,0.03345556124664809,4.0,1
-0.5,1.26276149998509,0.4119217613368231,0.026763913588530253,0.4676034769817021,-0.9260919505876201,4.0,0
-0.5,-1.98436688941137,0.4119217613368231,-0.3787990342984807,0.6450689846544639,0.5645298339285325,4.0,0
-0.5,0.632721663236524,0.2224483439737613,-1.7867242854073186,-0.3469039742993399,-0.7169284439096394,4.0,1
-0.5,0.0996110321415811,0.4119217613368231,0.19553007027222974,-0.25864866331268643,0.5645298339285325,4.0,0
0.5,-0.385034996126547,0.4119217613368231,0.19984076619266603,0.4676034769817021,-0.7507104484300074,4.0,0
0.5,-1.25739784700918,0.4119217613368231,0.011527637218105733,0.2600264821895012,0.5645298339285325,4.0,1
0.5,-1.11200403852874,0.4119217613368231,1.4071764260204436,-0.19607073235365066,0.5645298339285325,4.0,1
-0.5,-1.01507483287512,-0.3286354269003345,-1.368537247012954,-0.03580582358935094,-0.5716084069292914,2.0,0
0.5,-1.3543270526628,0.4119217613368231,1.0004994670976635,-0.5186751455021876,0.5645298339285325,4.0,0
-0.5,0.0996110321415811,-0.1391620095372719,0.605128630632766,-0.018605224680884186,0.2822649169642667,4.0,0
0.5,1.21429689715828,-0.4049458678373949,0.42617036252695134,0.4676034769817021,0.5645298339285325,4.0,0
-0.5,-1.45125625831643,-1.3506149188332202,-0.602189471448487,0.2600264821895012,-0.9081864903089969,4.0,0
-0.5,0.632721663236524,0.2027903573997713,0.6136239090330076,0.0,-0.5019010927123887,4.0,0
-0.5,1.16583229433147,-0.5377668308373863,-2.01723846422141,-1.734976668754459,-0.32933552074351546,4.0,0
0.5,-1.98436688941137,-0.7838927025635193,0.42174890922640473,0.05244948739730266,0.5645298339285325,1.0,0
0.5,-1.88743768375775,0.4119217613368231,1.2073356598277756,-0.06479304603659959,0.5645298339285325,4.0,0
-0.5,-0.675822613087425,-1.5360687950179035,-0.19960389537192355,-0.2132713312621174,-0.23405954409600985,1.0,0
0.5,-2.03283149223819,0.18302376335844656,0.22632959633428532,0.11267246163616691,0.4980989072876111,4.0,0
-0.5,-1.83897308093093,0.4119217613368231,0.8090432219251245,0.6450689846544639,0.5645298339285325,4.0,0
-0.5,0.341934046275646,-0.4182628078741043,0.2069469501102251,0.4374919898622678,-1.157675041904795,2.0,0
0.5,0.0511464293147689,-0.7972096426002286,0.21898654159598405,0.6450689846544639,0.28437931855052434,4.0,1
0.5,-1.11200403852874,-0.8301845692109281,0.40271389120319706,0.1717711712028476,0.2644758760932969,2.0,0
-0.5,1.65047832259959,0.2224483439737613,-0.8540336175849071,0.2600264821895012,0.4980989072876111,4.0,0
-0.5,-1.11200403852874,-1.8390592925728138,-1.395774902242967,-0.23768848191163144,0.5645298339285325,2.0,0
0.5,-1.83897308093093,0.4119217613368231,-0.01892426064309908,-0.4732978134516194,0.04787892959453508,4.0,0
0.5,1.26276149998509,-0.1761564773263531,-0.4016327939744724,-0.6961406531749549,-0.5486038749621972,4.0,0
0.5,1.35969070563872,-0.15649849075236338,0.2069469501102251,-1.1694384666265698,0.5645298339285325,4.0,0
-0.5,-1.30586244983599,0.4119217613368231,0.19995152357277549,-0.08118315563992003,0.15824443633192448,4.0,0
-0.5,-1.64511466962368,0.2027903573997713,-1.2186242245391363,-0.12501602027546385,-0.09571248954920138,4.0,0
0.5,-0.288105790472922,-0.6210531652738757,0.023567228703863755,0.22991499507006916,0.5645298339285325,4.0,0
-0.5,0.293469443448834,-1.451237734484805,-0.7858236214221141,0.08256097451673479,0.5645298339285325,4.0,0
0.5,-1.30586244983599,-0.01965798657398997,-0.19627889536062454,0.6450689846544639,-1.2295695260879118,4.0,0
-0.5,-0.239641187646109,0.4119217613368231,0.5910270201777574,-0.018605224680884186,0.2930291735419867,4.0,0
-0.5,0.390398649102458,0.4119217613368231,0.20745890437787917,-1.5544809690915355,0.014423368347887853,4.0,0
0.5,-1.98436688941137,-0.1391620095372719,0.6137346664131162,-0.09490453315603171,-0.15986221187100916,3.0,0
-0.5,0.875044677370589,0.032974926610698736,-0.5944781336296888,-0.5983138337270826,-1.0520075582930335,4.0,0
0.5,-0.239641187646109,0.4119217613368231,-0.3911862539850914,0.6450689846544639,-0.10436234454066369,4.0,0
