Metric,Configuration,t_stat,p_value
Accuracy,1_vs_4,4.720704971475536,0.0006287284612903366
Accuracy,2_vs_4,3.504906962490104,0.0049275548024833495
Accuracy,3_vs_4,4.1132157556157125,0.0017203754588022858
Custom_Metric,1_vs_4,7.654377715069082,9.915780836572881e-06
Custom_Metric,2_vs_4,3.9850345968231737,0.0021402860014584886
Custom_Metric,3_vs_4,5.536757376407258,0.00017622409580558363
