type,column_dropped,change_in_accuracy,change_in_custom_score
3_vs_4,PolygenicScoreEXT,-0.0005589714924538747,-0.0003861935458676635
3_vs_4,Age,-0.0011179429849077493,-0.0007726403090321243
3_vs_4,DelinquentPeer,0.0760201229737284,0.0537987954360406
3_vs_4,SchoolConnect,0.005030743432084983,0.0002827345257098157
3_vs_4,NeighborConnect,-0.0011179429849077493,-0.0007726403090321243
3_vs_4,ParentalWarmth,0.0022358859698156097,-4.9825082770071916e-05
3_vs_4,Is_Male,-0.043599776411403,-0.013230789663915887
