Race,PolygenicScoreEXT,Age,DelinquentPeer,SchoolConnect,NeighborConnect,ParentalWarmth,AntisocialTrajectory,Is_Male,PolygenicScoreEXT_x_Is_Male,PolygenicScoreEXT_x_Age,InFamilyCluster
1.0,1.38657840348164,0.24242424242424263,-0.5585215691192658,-0.38288335128408163,-0.396537008952024,0.1757762580978378,2.0,1,1.38657840348164,0.5196893453772767,0
2.0,-0.325120822941599,0.6969696969696983,0.03749377007694536,0.6140686032386343,0.365526616694033,0.5735122155391363,4.0,0,0.0,-0.41657696661871013,0
3.0,-1.28882697906863,-0.09090909090909116,-0.7464784558946206,-1.3559952258364485,-0.40884992881044196,-0.1270712432521272,3.0,1,-1.28882697906863,0.3953974095168792,0
1.0,-0.259844442145026,-0.33333333333333265,0.4039846608037881,-0.40168470047649824,-0.1686323125112111,-1.788869945454355,4.0,1,-0.259844442145026,0.21054767008960995,0
1.0,0.724412346147754,0.48484848484848414,-1.292290613772058,0.397426921515447,0.18276330834701657,-0.7779896084187983,3.0,0,0.0,0.629378641936525,0
1.0,-0.404382267273612,-0.15151515151515121,-0.6095120136371462,0.19738757396958134,-0.12190035068787268,-0.8777317526609685,4.0,0,0.0,0.17643679073943153,0
1.0,-1.1339241607775,-0.9090909090909105,0.4039846608037881,-1.3966851141464687,0.0,0.6370782486414711,2.0,1,-1.1339241607775,2.2290190651290964,0
1.0,0.218002682960533,-1.0909090909090875,-0.22545065685230037,0.3863841553225559,-0.29879933201308645,-0.1270712432521272,4.0,0,0.0,-0.504204427003464,0
1.0,0.732044169822094,0.9090909090909102,0.01992330401894268,-1.344718496586163,0.365526616694033,0.6370782486414711,4.0,0,0.0,1.265518371603225,0
1.0,-1.30607290452267,-0.5454545454545451,0.4039846608037881,0.40881304851762956,-1.5533195675727167,-0.20450273899853239,4.0,0,0.0,1.6040742635294745,1
2.0,1.67007638647662,0.7575757575757552,0.4039846608037881,-0.19727817621768337,0.18276330834701657,0.0,4.0,0,0.0,2.369157180608225,0
1.0,-0.826386590580402,-0.6060606060606071,0.4039846608037881,-0.1973875739695811,-0.29879933201308645,-0.9097445126990251,4.0,0,0.0,1.1179091904920557,0
1.0,0.198928410921179,0.7878787878787901,-0.6159386432151551,-2.0699888730445597,-0.7361910212240009,-0.6393401593709716,4.0,1,0.198928410921179,0.2978790579682965,1
1.0,-0.940576657686576,0.3333333333333337,-1.2723673097531147,-0.5912963492342683,-0.08502563140807848,0.6370782486414711,4.0,0,0.0,-0.5192664632520501,0
1.0,0.886759100437165,0.030303030303029846,0.4039846608037881,0.011386127002183452,0.365526616694033,-0.6396525244845216,4.0,1,0.886759100437165,-0.04752842002453042,0
1.0,-1.3556823326368,0.8787878787878755,0.21195398241136576,-0.2007789802561572,-0.7862262993949924,-0.41821096225590304,4.0,0,0.0,-2.249148372289655,0
1.0,-0.268874855480632,0.30303030303030204,-1.0334199784598783,0.011386127002183452,0.5482899250410496,-0.20450273899853239,2.0,1,-0.268874855480632,-0.12911611929659286,0
1.0,-0.339931852950913,1.0606060606060588,-0.01992330401894337,0.5829400410422331,-0.990575504329159,0.6370782486414711,4.0,0,0.0,-0.6863086698374891,0
