Model,Interaction_Term,Score
SVC,ParentalWarmth_x_Is_Male,0.7639971612503467
KNN,PolygenicScoreEXT_x_Age,0.8008258023610615
KNN,PolygenicScoreEXT_x_DelinquentPeer,0.7984100119962391
KNN,PolygenicScoreEXT_x_SchoolConnect,0.7999667851880672
KNN,PolygenicScoreEXT_x_NeighborConnect,0.7947053860591454
KNN,PolygenicScoreEXT_x_ParentalWarmth,0.7977121262883349
KNN,PolygenicScoreEXT_x_Is_Male,0.7972826249067859
KNN,Age_x_DelinquentPeer,0.8024363100577476
KNN,Age_x_SchoolConnect,0.8000740812790225
KNN,Age_x_NeighborConnect,0.7999132380118665
KNN,Age_x_ParentalWarmth,0.8041541714849758
KNN,Age_x_Is_Male,0.7988930749638852
KNN,DelinquentPeer_x_SchoolConnect,0.7939003051295629
KNN,DelinquentPeer_x_NeighborConnect,0.7948663590153717
KNN,DelinquentPeer_x_ParentalWarmth,0.7956716272736115
KNN,DelinquentPeer_x_Is_Male,0.798194829008563
KNN,SchoolConnect_x_NeighborConnect,0.7976584206032703
KNN,SchoolConnect_x_ParentalWarmth,0.797496986530349
KNN,SchoolConnect_x_Is_Male,0.7968528353273028
KNN,NeighborConnect_x_ParentalWarmth,0.798087936394716
KNN,NeighborConnect_x_Is_Male,0.7956716849131984
KNN,ParentalWarmth_x_Is_Male,0.7990002701855634
Decision Tree,PolygenicScoreEXT_x_Age,0.711064466275438
Decision Tree,PolygenicScoreEXT_x_DelinquentPeer,0.7120831739238509
Decision Tree,PolygenicScoreEXT_x_SchoolConnect,0.7140701113524769
Decision Tree,PolygenicScoreEXT_x_NeighborConnect,0.7102582037343247
Decision Tree,PolygenicScoreEXT_x_ParentalWarmth,0.707413387514545
Decision Tree,PolygenicScoreEXT_x_Is_Male,0.7142313436868442
Decision Tree,Age_x_DelinquentPeer,0.7110633855331842
Decision Tree,Age_x_SchoolConnect,0.7127288237561556
Decision Tree,Age_x_NeighborConnect,0.7110636016816348
Decision Tree,Age_x_ParentalWarmth,0.7108490239096212
Decision Tree,Age_x_Is_Male,0.7118154956824347
Decision Tree,DelinquentPeer_x_SchoolConnect,0.712137513644371
Decision Tree,DelinquentPeer_x_NeighborConnect,0.7127280168019396
Decision Tree,DelinquentPeer_x_ParentalWarmth,0.7089700021975093
Decision Tree,DelinquentPeer_x_Is_Male,0.7134254125733555
Decision Tree,SchoolConnect_x_NeighborConnect,0.7113329514710703
Decision Tree,SchoolConnect_x_ParentalWarmth,0.7089162244629611
Decision Tree,SchoolConnect_x_Is_Male,0.7105255361382197
Decision Tree,NeighborConnect_x_ParentalWarmth,0.7104200268744575
Decision Tree,NeighborConnect_x_Is_Male,0.7111712724299049
