,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score
1_vs_4,logistic_regression,AST,0.9667260843731432,0.6906917637139541,0.3200779514423424,0.2916666666666667,0.3888888888888889,0.3333333333333333,0.9865443425076452,0.9793564055859137,0.9829372333942716,0.639105504587156,0.6841226472374013,0.6581352833638024,0.9716806489067686,0.9667260843731432,0.9690419628047328,,,,,,
2_vs_4,logistic_regression,AST,0.7794736842105263,0.5529975497113129,0.16346355628919068,,,,0.8925831202046036,0.8476017000607164,0.8695110557458736,0.572779655340397,0.5917850397536784,0.5790679217608825,0.8074144079828728,0.7794736842105263,0.7921614632214495,0.25297619047619047,0.3359683794466403,0.28862478777589134,,,
3_vs_4,logistic_regression,AST,0.8183342649524874,0.6386413342351847,0.3146061926185957,,,,0.9635343618513323,0.8342440801457195,0.8942401561991538,0.6057341230744265,0.7340234485235639,0.6253378998817551,0.9067343239459991,0.8183342649524874,0.851552486666375,,,,0.24793388429752067,0.6338028169014085,0.3564356435643564
