,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score
1_vs_4,logistic_regression,AST,0.9655377302436126,0.679434425112591,0.29540582575408275,0.2708333333333333,0.3611111111111111,0.3095238095238095,0.9859327217125382,0.978749241044323,0.9823278488726387,0.6283830275229357,0.6699301760777171,0.645925829198224,0.970636478110844,0.9655377302436126,0.9679363186191878,,,,,,
2_vs_4,logistic_regression,AST,0.7810526315789473,0.5579939980152295,0.17341716163624923,,,,0.8942985265855221,0.8476017000607164,0.8703241895261846,0.5769427736172448,0.597713893508619,0.583810743411741,0.8097816786897599,0.7810526315789473,0.7940211349293907,0.25958702064896755,0.34782608695652173,0.29729729729729726,,,
3_vs_4,logistic_regression,AST,0.8172163219675797,0.6376379401874345,0.31314875638355094,,,,0.9634831460674157,0.833029751062538,0.8935200260501465,0.6050292442665846,0.7334162839819732,0.6242748059244815,0.9065793405272055,0.8172163219675797,0.8507779117317067,,,,0.2465753424657534,0.6338028169014085,0.35502958579881655
