,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,1.0_Precision,1.0_Recall,1.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score
1_vs_4,logistic_regression,AST,0.964349376114082,0.6914108916534448,0.322640652896496,0.2777777777777778,0.4166666666666667,0.33333333333333337,0.9871086556169429,0.97632058287796,0.9816849816849818,0.6324432166973604,0.6964936247723134,0.6575091575091576,0.9719358026150356,0.964349376114082,0.967816497228262,,,,,,
2_vs_4,logistic_regression,AST,0.7805263157894737,0.5586528997644588,0.1752425173091415,,,,0.8947368421052632,0.8463873709775349,0.8698907956318253,0.577485380116959,0.5990830135520085,0.5845252297486857,0.8102477685441675,0.7805263157894737,0.7938934396650522,0.260233918128655,0.35177865612648224,0.2991596638655462,,,
3_vs_4,logistic_regression,AST,0.8144214645053103,0.6351465618063217,0.3095470065924716,,,,0.9633544749823819,0.8299939283545841,0.8917155903457272,0.6032988591128126,0.7318983726279963,0.6216390451728636,0.9061964006911815,0.8144214645053103,0.8488415049186209,,,,0.24324324324324326,0.6338028169014085,0.35156250000000006
