,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train ROC AUC,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Test ROC AUC
AST_1_vs_4,0.8797300554350446,0.11555959963603275,0.8300653594771242,0.20287539936102233,0.8553641714512693,0.8804531212340323,0.08661417322834646,0.5789473684210527,0.15068493150684933,0.7325132128135217
AST_2_vs_4,0.5830320559170885,0.2021911138161899,0.8194375925012334,0.3243507127514158,0.6847891511136821,0.5389250421788383,0.15774099318403115,0.6390532544378699,0.25302616165560327,0.5820197628586934
AST_3_vs_4,0.8941311159315498,0.39427773900907187,0.9817549956559514,0.5626089121234752,0.9346780805408278,0.8122439141961919,0.1832258064516129,0.4930555555555556,0.2671683913452493,0.6645541958041958
