Race,Sex,Age,DelinquentPeer,SchoolConnect,NeighborConnect,ParentalWarmth,AntisocialTrajectory,InFamilyCluster
1.0,0.5,0.875044677370589,0.21195398241136576,0.00010982182966851732,-0.3473372754682633,-0.42648778446086366,4.0,0
1.0,0.5,-1.16046864135555,-0.6095120136371462,-0.5935884954000209,0.0,0.6370782486414711,4.0,0
1.0,0.5,0.487327854756085,-0.20552735283335724,-0.7796935208322409,-0.03065224641043077,-0.909432147585476,4.0,0
4.0,0.5,2.0381951452141,0.4039846608037881,0.9848924220970084,-2.0113809053055585,0.1289070322505206,4.0,0
1.0,-0.5,-1.6935792724505,0.4039846608037881,0.40686601826891083,0.36130506932202405,0.6370782486414711,4.0,0
2.0,-0.5,-1.20893324418237,0.4039846608037881,-2.1569618349940485,-1.1880426624334757,0.5735122155391363,4.0,0
2.0,0.5,-1.6935792724505,0.03749377007694536,0.6119550977040058,0.18065253466101208,0.39776130356016864,4.0,0
1.0,0.5,0.293469443448834,-0.17446021233442047,-0.3697502319716457,0.06016003796130494,-0.3654628365421234,2.0,0
1.0,-0.5,1.84433673390685,-0.23894733129323456,0.4102879806998592,0.06595663657921959,-0.002967352231935639,4.0,0
4.0,-0.5,0.778115471716962,0.4039846608037881,0.011430265051377607,-0.4817975660217312,0.3989990204650243,4.0,0
1.0,0.5,-0.481964201780173,0.21195398241136576,0.8101078398864908,0.044620040264191516,0.6370782486414711,4.0,0
1.0,-0.5,-0.239641187646109,-0.23187728643030941,0.5930808655307993,0.5726098503934692,0.2015353867665964,4.0,1
1.0,-0.5,0.196540237795208,0.4039846608037881,-0.7832253050928578,0.36130506932202405,-0.62802317122746,4.0,0
1.0,0.5,0.293469443448834,0.4039846608037881,0.3974803546318182,-0.7596365016726754,-0.25985694167713674,4.0,0
1.0,0.5,1.50508451411916,-0.17210737437347995,0.82153810493787,0.18065253466101208,0.0,2.0,0
2.0,0.5,-0.0942473791656698,0.4039846608037881,0.783335126922527,-0.29412250585068095,0.5735122155391363,4.0,0
