Race,Age,DelinquentPeer,SchoolConnect,NeighborConnect,ParentalWarmth,AntisocialTrajectory,Is_Male,InFamilyCluster
2.0,0.8124999999999986,0.4039846608037881,-0.38667105200316676,0.17760873036484975,0.39776130356016864,4.0,0,0
1.0,-0.43750000000000056,0.4039846608037881,-1.1635164022159739,-0.11846232546630538,0.39776130356016864,4.0,0,0
1.0,0.8750000000000012,0.4039846608037881,1.201726120176029,-0.34148500944126586,0.6370782486414711,4.0,0,0
1.0,0.343749999999999,0.19203067839242238,-0.7852248420926301,0.7707064983625693,-0.1270712432521272,4.0,1,0
4.0,-0.03125000000000083,0.4039846608037881,0.40109793948038003,-0.8457806056284333,0.1430207449623763,4.0,1,0
1.0,-1.1874999999999976,0.4039846608037881,0.20503778676351087,0.7707064983625693,0.6370782486414711,4.0,0,0
1.0,-0.6250000000000003,0.4039846608037881,0.6062625546221306,0.5930977679977242,0.6370782486414711,4.0,1,0
1.0,-0.03125000000000083,-0.19203067839242308,0.20855838728022955,-0.6074202768208347,0.2015353867665964,4.0,1,0
1.0,-0.6562500000000037,0.4039846608037881,0.20855838728022955,-0.26593526737956885,-0.3833618838683244,4.0,1,0
1.0,0.343749999999999,-0.17210737437347995,0.4094774313602054,-0.2602363353225442,-0.42648778446086366,4.0,1,0
2.0,0.9687500000000021,-0.23187728643030941,0.6072216514376845,0.41548903763287215,0.1470244310782719,4.0,1,0
5.0,0.9062499999999994,-1.0334199784598783,0.8002672260469045,0.3853532491812858,-1.165410423088123,2.0,0,1
1.0,-0.12499999999999999,-0.4309780096856575,-1.1822040388894735,-0.9416606403349853,-1.2454274025088727,2.0,0,0
2.0,0.12499999999999986,0.03749377007694536,-0.5980250692550598,-1.1981611875417864,-1.7970600431140369,4.0,1,0
1.0,-0.2812500000000003,-0.23187728643030941,-1.0000821055509939,-1.4607543801411003,-1.6993699636253952,4.0,0,0
4.0,0.09374999999999979,0.19203067839242238,-0.1550526286094188,0.7707064983625693,-0.14559502080542663,4.0,0,0
5.0,-0.09375000000000057,-1.1504631166984067,0.41310750594491563,0.5930977679977242,-0.42117831448783954,4.0,1,1
1.0,0.4687499999999999,0.21195398241136576,-0.3892152013940843,-1.4607543801411003,0.3989990204650243,4.0,1,1
1.0,-0.4687500000000006,-0.9824295339419993,0.2015345405570395,-0.10360470217324345,-0.20450273899853239,4.0,0,0
1.0,-0.1562500000000007,0.0,0.3941835668251816,0.2077445188164361,-0.02044965869573441,2.0,0,0
1.0,0.43749999999999917,-1.0334199784598783,-0.5876074503933908,0.3853532491812858,-0.3833618838683244,4.0,0,0
2.0,-0.34375000000000044,0.4039846608037881,0.004009268615543489,0.3853532491812858,0.14842900119763935,4.0,0,0
1.0,0.6562500000000016,-0.6095120136371462,-0.5722962315481187,-1.0754011309598137,-0.6500356120357634,4.0,0,0
1.0,-0.2812500000000003,0.4039846608037881,0.20855838728022955,-1.815971840870798,-0.1270712432521272,4.0,1,0
2.0,-0.03125000000000083,-0.39755803122577976,-0.18914578006167088,0.3853532491812858,-0.6396525244845216,4.0,0,0
3.0,0.15624999999999928,-0.4239079648227322,0.583818014985677,0.12511691385874202,-0.02044965869573441,4.0,1,0
3.0,0.4687499999999999,-0.013496674440934355,-0.3936948987263567,0.0949811254071557,-1.1475113757619237,4.0,1,1
1.0,0.28125000000000017,0.4039846608037881,-0.3935854246583652,0.29702671216656673,-0.6174042312814116,4.0,0,0
1.0,-0.43750000000000056,-1.292290613772058,-0.5920697934154151,-0.08832653701471904,-0.1270712432521272,4.0,1,0
4.0,-1.1874999999999976,0.4039846608037881,0.7926278828466516,-1.1192693706998351,0.6370782486414711,4.0,0,0
4.0,0.4062499999999998,0.4039846608037881,0.5992387078989405,0.41548903763287215,0.5735122155391363,4.0,0,0
1.0,-0.8125000000000008,0.4039846608037881,0.595212084973148,0.5930977679977242,0.3690094765406035,4.0,0,1
4.0,0.7812500000000004,0.21195398241136576,0.3940740927571901,0.17760873036484975,-0.5365702908598887,4.0,0,0
1.0,0.49999999999999933,-1.0469166529008107,-0.5920697934154151,0.7707064983625693,-0.1270712432521272,2.0,1,0
1.0,0.343749999999999,0.4039846608037881,1.0117307173667909,0.17760873036484975,0.6370782486414711,4.0,1,0
